AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Advika Gokhale,46,M,A1
2,1,Balvan Chopra,51,F,A2
3,1,Hemani Murthy,18,T,A3
4,2,Parth Mody,28,M,A1
5,2,Peter Ray,23,T,A2
6,2,Aayush Mistry,42,T,A3
7,3,Ladli Ghosh,21,T,A1
8,3,Nidra Acharya,49,F,A2
9,3,Bhavini Kade,32,T,A3
10,3,Ekanta Shroff,40,M,A4
11,4,Girik Keer,25,F,A1
12,4,Umang Issac,22,M,A2
13,4,Aryan Batra,32,T,A3
14,5,Kalpit Jayaraman,25,M,A1
15,5,Karan Edwin,33,T,A2
16,5,Rayaan Barad,26,F,A3
17,6,Sanaya Dutt,53,M,A1
18,6,Shivani Lad,55,M,A2
19,7,Lakshit Dora,57,M,A1
20,8,Lajita Sood,25,T,A1
21,8,Indira Misra,59,T,A2
22,8,Oni Yohannan,31,F,A3
23,8,Vinaya Kanda,46,M,A4
24,9,Joshua Walla,25,F,A1
25,10,Chandresh Lad,41,F,A1
26,10,Falak Kakar,38,T,A2
27,10,Eta Nazareth,56,M,A3
28,10,Arunima Sama,21,M,A4
29,11,Banjeet Balasubramanian,40,M,A1
30,11,Ryan Bahri,43,T,A2
31,12,Indrajit Iyengar,30,F,A1
32,13,Devansh Barman,59,M,A1
33,13,Aarav Nath,57,T,A2
34,13,Dominic Mital,50,F,A3
35,14,Rachita Pathak,60,T,A1
36,14,Michael Saran,27,F,A2
37,14,Anamika Yohannan,23,T,A3
38,14,Udyati Sarin,60,M,A4
39,15,Qabil Sura,29,T,A1
40,15,Isha Kuruvilla,57,M,A2
41,16,Vrinda Khosla,25,F,A1
42,17,Yagnesh Mohan,26,T,A1
43,17,Urvashi Wali,48,F,A2
44,17,Pavani Narayanan,57,M,A3
45,18,Aarav Nath,51,F,A1
46,18,Indrajit Iyengar,22,T,A2
47,18,Siddharth Malhotra,52,T,A3
48,18,Peter Ray,50,T,A4
49,19,Aradhana Vohra,52,F,A1
50,19,Harish Hari,34,M,A2
51,19,Utkarsh Patel,59,M,A3
52,20,Bhavani Singh,45,M,A1
53,20,Ridhi Oak,46,F,A2
54,20,Charan Krishnan,46,M,A3
55,21,Dominic Palla,43,F,A1
56,21,Parth Mody,59,F,A2
57,21,Devansh Barman,33,M,A3
58,22,Hardik Johal,41,T,A1
59,22,Aishani Bumb,54,F,A2
60,23,Indrajit Iyengar,32,F,A1
61,23,Siddharth Malhotra,51,F,A2
62,23,Darpan Koshy,23,F,A3
63,24,Jason Pingle,28,F,A1
64,24,Rayaan Barad,44,F,A2
65,24,Isaiah Dixit,47,M,A3
66,24,Ekavir Bora,39,T,A4
67,25,Raksha Buch,31,T,A1
68,25,Rachana Naidu,40,M,A2
69,25,Atharv Chand,21,F,A3
70,25,Ansh Luthra,49,T,A4
71,26,Dominic Palla,47,M,A1
72,26,Baljiwan Dixit,56,T,A2
73,26,Kiaan Dutta,26,F,A3
74,26,Parth Mody,57,F,A4
75,27,Ekani Cheema,31,F,A1
76,27,Forum Sabharwal,50,T,A2
77,27,Bhavya Rattan,48,T,A3
78,28,Turvi Sachdev,43,F,A1
79,29,Kiaan Dutta,18,T,A1
80,29,Harsh Lalla,28,F,A2
81,29,Ojas Sabharwal,59,F,A3
82,29,Fariq Mukhopadhyay,48,T,A4
83,30,Aarav Nath,39,M,A1
84,30,Indrajit Iyengar,47,T,A2
85,30,Siddharth Malhotra,34,T,A3
86,31,Harini Tripathi,50,T,A1
87,32,Tanay Andra,46,M,A1
88,32,Parth Mody,31,T,A2
89,33,Warhi Bansal,42,F,A1
90,33,Yadavi Narula,23,T,A2
91,33,Ria Chaudhry,60,T,A3
92,33,Alexander Dhawan,26,T,A4
93,34,Edhitha Sura,21,M,A1
94,34,Ekapad Keer,50,F,A2
95,34,Utkarsh Chana,32,T,A3
96,34,Guneet Chaudhry,54,F,A4
97,35,Yash Wali,46,F,A1
98,35,Pranit Garde,23,T,A2
99,35,Farhan Raja,30,M,A3
100,36,Riya Pai,54,M,A1
101,36,Panini Krishna,27,M,A2
102,37,Kiaan Dutta,18,M,A1
103,37,Harsh Lalla,50,F,A2
104,38,Bahadurjit Patla,21,T,A1
105,38,Gautam Merchant,18,T,A2
106,38,Ojasvi Gill,28,M,A3
107,38,Kevin Zacharia,49,F,A4
108,39,Hamsini Contractor,42,T,A1
109,39,Faqid Dhaliwal,26,T,A2
110,39,Mekhala Pau,23,T,A3
111,39,Megha Atwal,40,M,A4
112,40,Vivaan Sinha,24,M,A1
113,40,Falak Kant,18,F,A2
114,41,Kiaan Dutta,45,F,A1
115,41,Harsh Lalla,44,F,A2
116,41,Ojas Sabharwal,48,M,A3
117,41,Rishi Setty,41,F,A4
118,42,Sachi Saxena,52,M,A1
119,43,Chandresh Nath,41,T,A1
120,43,Jeremiah Jha,52,T,A2
121,43,Sarthak Kalita,58,M,A3
122,43,Falguni Divan,24,M,A4
123,44,Jason Pingle,47,M,A1
124,44,Qasim Divan,51,F,A2
125,44,Karan Edwin,40,F,A3
126,44,Baljiwan Dixit,24,F,A4
127,45,Oviya Vora,52,M,A1
128,46,Yahvi Kant,26,T,A1
129,46,Charvi Shanker,42,F,A2
130,47,Sachi Borah,47,T,A1
131,47,Ekanta Divan,49,T,A2
132,47,Jonathan Maharaj,50,M,A3
133,48,Odika Nori,36,F,A1
134,48,Mohini Sagar,54,F,A2
135,48,Dhriti Sane,50,T,A3
136,49,Forum Das,31,F,A1
137,49,Irya Sampath,35,F,A2
138,49,Bhavna Muni,36,F,A3
139,49,Hemang Tripathi,53,T,A4
140,50,Anjali More,18,T,A1
141,50,Indali Ahuja,39,M,A2
142,51,Devika Nair,26,M,A1
143,51,Charles Dugal,35,T,A2
144,51,Chandran Bumb,23,M,A3
145,51,Saanvi Samra,53,T,A4
146,52,Aarav Nath,18,F,A1
147,53,Karan Edwin,25,F,A1
148,53,Rayaan Barad,57,T,A2
149,54,Mekhala Basak,25,M,A1
150,55,Janaki Chakrabarti,43,M,A1
151,55,Hitesh Kohli,47,F,A2
152,56,Jason Pingle,44,F,A1
153,56,Qabil Baral,21,M,A2
154,56,Ekalinga Lalla,35,M,A3
155,57,Isaac Bajwa,38,F,A1
156,58,Jason Pingle,26,M,A1
157,59,Faraj Chana,35,F,A1
158,59,Turvi Barman,27,M,A2
159,59,Raghav Nagy,57,T,A3
160,60,Januja Pradhan,28,M,A1
161,60,Lila Rege,33,T,A2
162,60,Charles Natt,33,F,A3
163,61,Lohit Palla,26,F,A1
164,62,Pranit Kala,36,M,A1
165,62,Vedika Handa,29,T,A2
166,63,Gayathri Deep,18,M,A1
167,64,Aarav Nath,53,M,A1
168,64,Indrajit Iyengar,39,T,A2
169,64,Siddharth Malhotra,57,F,A3
170,64,Peter Ray,19,F,A4
171,65,Dayamai Singh,60,F,A1
172,65,Jhalak Sastry,23,T,A2
173,65,Baghyawati Raja,52,F,A3
174,66,Kamya Chauhan,26,M,A1
175,66,Bhavani Chacko,45,M,A2
176,67,Shravya Palla,59,F,A1
177,67,Oeshi Bera,54,T,A2
178,67,Yadavi Prakash,48,M,A3
179,68,Upasna Sen,41,M,A1
180,68,Fariq Bahl,50,M,A2
181,68,Tanveer Doctor,22,F,A3
182,68,Indrajit Mani,50,F,A4
183,69,Xalak Wason,31,F,A1
184,69,Yutika Khurana,59,F,A2
185,70,Ekansh Vora,34,T,A1
186,70,Madhavi Singhal,59,F,A2
187,70,Lila Prakash,30,M,A3
188,71,Varenya Gopal,53,M,A1
189,71,Dev Shankar,39,T,A2
190,72,Champak Narula,38,T,A1
191,72,Jeet Pillai,21,M,A2
192,72,Mugdha Sarraf,46,F,A3
193,72,Harinakshi Grover,31,M,A4
194,73,Ekani Chauhan,26,F,A1
195,73,Falak Merchant,49,F,A2
196,73,Sanaya Sandhu,30,M,A3
197,74,Januja Varghese,58,M,A1
198,74,Azaan Dhar,37,F,A2
199,74,Bakhshi Date,60,M,A3
200,75,Kamya Sawhney,60,F,A1
201,76,Zarna Ram,25,F,A1
202,77,Indrajit Iyengar,18,T,A1
203,78,Nakul Ghosh,50,M,A1
204,78,Yashoda Kapur,53,T,A2
205,79,Unni Dayal,46,M,A1
206,79,Dominic More,24,T,A2
207,79,Varenya Vora,32,M,A3
208,79,Nimrat Borah,39,F,A4
209,80,Yadavi Bhakta,50,M,A1
210,80,Zarna Dua,55,M,A2
211,80,Nitesh Edwin,26,M,A3
212,80,Umang Pal,42,T,A4
213,81,Benjamin Balakrishnan,53,F,A1
214,81,Chakradev Lanka,55,T,A2
215,81,Omaja Balasubramanian,60,T,A3
216,82,Ucchal Jani,38,T,A1
217,83,Isaac Bajwa,27,M,A1
218,83,Kiaan Dutta,27,F,A2
219,83,Qasim Divan,56,M,A3
