ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Falguni Mallick,66,8,4,4,1
2,2,Lekha Gupta,46,2,1,4,1
3,3,Dipta Dash,43,8,1,2,2
4,4,Yasti Solanki,31,3,5,3,2
5,5,Elijah Shah,62,4,4,1,2
6,6,Patrick Vasa,36,4,1,4,1
7,7,Vedhika Khare,35,1,2,4,1
8,8,Tanish Bhatt,39,3,1,2,2
9,9,Ayush Ramachandran,57,5,3,1,1
10,10,Avi Chacko,55,7,1,2,1
11,11,Upma Bahl,26,1,4,4,1
12,12,Jonathan Solanki,56,7,5,1,2
13,13,Nihal Mukhopadhyay,28,8,1,4,2
14,14,Jai Barman,42,5,4,4,2
15,15,Ekantika Korpal,27,3,1,3,1
16,16,Advaith Varughese,29,4,5,2,2
17,17,Sara Badal,33,1,3,1,2
18,18,Anika Mohan,59,4,2,3,2
19,19,Jagdish Wason,23,8,1,3,1
20,20,Jonathan Mahal,24,7,5,2,2
21,21,Ishaan Bhattacharyya,23,4,3,3,2
22,22,Upkaar Virk,54,5,3,2,1
23,23,Falan Dugar,68,3,4,5,1
24,24,Bishakha Bali,58,1,4,5,2
25,25,Bhavya Sarna,31,3,4,5,2
26,26,Upma Venkataraman,25,7,3,3,2
27,27,Vyanjana Chand,62,4,1,5,1
28,28,Suhani Chakrabarti,38,5,2,4,2
29,29,Wishi Sathe,58,4,2,1,1
30,30,Girik Kar,38,2,3,3,2
31,31,Tanmayi Dhillon,67,5,3,3,1
32,32,Barkha Misra,67,4,2,5,1
33,33,Leela Kaur,22,2,4,1,2
34,34,Falan Singh,34,4,1,1,1
35,35,Ayush Batra,38,3,4,1,2
36,36,Widisha Dhar,48,6,3,3,2
37,37,Rushil Rajagopalan,65,8,2,5,1
38,38,Watika Mangat,24,6,4,4,1
39,39,Yachana Mahajan,56,3,4,1,2
40,40,Suhani Pillay,70,4,1,1,2
41,41,Chasmum Rege,68,2,5,2,1
42,42,Mohammed Sachdeva,39,5,4,5,1
43,43,Hardik Pillai,64,7,4,1,2
44,44,Aradhana Dhillon,42,7,4,5,1
45,45,Ekiya Babu,47,7,4,1,1
46,46,Vamakshi Sen,39,2,2,3,1
47,47,Darsh Srinivas,50,3,1,5,1
48,48,Lakshmi Wali,63,6,5,4,1
49,49,Kavya Dua,48,8,3,5,1
50,50,Udarsh Chokshi,59,5,2,4,1
51,51,Nandini Boase,47,6,2,2,2
52,52,Oeshi Mahajan,19,6,3,2,2
53,53,Thomas Rana,70,3,5,3,2
54,54,Qushi Gill,50,8,5,3,1
55,55,Faras Munshi,34,7,3,3,1
56,56,Farhan Randhawa,45,1,2,5,2
57,57,Indali Divan,47,5,2,1,1
58,58,Michael Borra,35,3,1,4,2
59,59,Anvi Bhalla,48,1,2,5,2
60,60,David Seshadri,43,5,2,1,2
61,61,Libni Mander,21,2,1,2,1
62,62,Kai Chad,38,6,2,2,2
63,63,Mohammed Brahmbhatt,64,6,4,1,2
64,64,Nicholas Golla,37,1,3,3,1
65,65,Sachi Mane,25,1,2,2,2
66,66,Neel Iyengar,38,2,4,1,1
67,67,Shivani Varghese,28,3,5,5,1
68,68,Kavya Kapur,27,5,4,3,2
69,69,Champak Khare,35,2,3,1,2
70,70,Pushti Agarwal,19,6,5,5,2
71,71,Ishanvi Bir,65,4,5,4,2
72,72,Caleb Iyengar,28,3,2,3,2
73,73,Jhalak Venkataraman,43,5,2,1,1
74,74,Indali Sekhon,22,2,1,1,1
75,75,Janaki Rajagopal,54,8,2,4,2
76,76,Jeevika Rao,67,1,1,2,1
77,77,Adweta Lad,68,6,5,1,1
78,78,Siya Gera,28,1,1,2,2
79,79,Liam Khalsa,61,8,3,3,1
80,80,Ethan Sengupta,21,2,4,4,1
