VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Arya Panchal,9,M,false
2,1,Garima Bala,69,T,false
3,2,Chaitanya Sarin,43,M,false
4,2,Zinal Yohannan,10,F,false
5,2,Januja Sankar,12,F,false
6,3,Yashica More,50,T,false
7,3,Eta Rau,42,T,false
8,3,Joshua Handa,42,M,false
9,4,Frado Mander,37,F,false
10,5,Robert Rajagopalan,33,T,false
11,5,Mugdha Kohli,13,T,false
12,5,Abdul Chhabra,64,T,false
13,6,Chandresh Krish,32,T,false
14,6,Tanmayi Deol,7,M,false
15,6,Edhitha Savant,47,M,false
16,7,Ria Brahmbhatt,13,F,false
17,7,Wahab Magar,62,F,false
18,7,Ekaja Zachariah,70,T,false
19,8,Nikita Narayanan,75,T,false
20,8,Ojasvi Bhatia,46,F,false
21,8,Osha Ramachandran,72,F,false
22,9,Nidhi Gandhi,66,M,false
23,10,Krishna Shenoy,72,M,false
24,11,Inaya Kapur,53,T,false
25,12,Tejas Shroff,48,M,false
26,12,Jyoti Ganesh,47,M,false
27,13,Atharv Muni,43,F,false
28,13,Mekhala Issac,12,F,false
29,13,Xavier Chaudry,69,M,false
30,14,Priya Prabhakar,11,T,false
31,14,Yashawini Om,47,M,false
32,14,Osha Suri,47,M,false
33,15,Arya Seshadri,74,T,false
34,15,Ucchal Raghavan,72,M,false
35,15,Ayush Talwar,48,T,false
36,16,Frederick Khurana,66,F,false
37,17,Chaitaly Kant,22,M,false
38,18,Vihaan Dara,50,M,false
39,19,Rehaan Kalita,30,M,false
40,20,Chatura Master,18,M,false
41,20,Vritti Chauhan,46,T,false
42,21,Vyanjana Borah,9,T,false
43,21,Max Dixit,24,T,false
44,21,Frederick Kothari,62,F,false
45,22,Shravya Savant,70,M,false
46,22,Pushti Mody,20,M,false
47,23,Nilima Seshadri,71,M,false
48,24,Bhavya Mandal,43,F,false
49,24,Ekavir Kaur,36,T,false
50,24,Rudra Sandal,56,F,false
51,25,Upadhriti Modi,44,F,false
52,25,Anita Tella,7,M,false
53,26,Arunima Golla,30,T,false
54,27,Ijaya Rege,7,F,false
55,28,Zayyan Naik,49,T,false
56,28,Netra Varkey,40,F,false
57,29,Samar Loke,34,M,false
58,29,Bhavna Sarma,17,F,false
59,29,Jairaj Balakrishnan,47,T,false
60,30,Triya Dalal,74,T,false
61,30,Wishi Manne,68,M,false
62,30,Ojasvi Subramanian,69,F,false
63,31,Rayaan Trivedi,51,T,false
64,31,Ekaraj Majumdar,35,M,false
65,32,Manthan Sekhon,62,T,false
66,32,Hemani Natarajan,51,M,false
67,32,Tamanna Nagy,19,M,false
68,33,Caleb Nadkarni,28,M,false
69,33,Lakshmi Raju,58,F,false
70,34,Hamsini Rao,11,M,false
71,34,Falguni Walla,10,F,false
72,35,Daksh Memon,72,M,false
73,35,Kavya Sankar,54,M,false
74,36,Triya Kumar,68,F,false
75,36,Aadhya Andra,17,T,false
76,36,Bhavna Dugar,65,F,false
77,37,Hredhaan Khalsa,9,M,false
78,37,Jagrati Merchant,11,M,false
79,37,Anthony Randhawa,57,M,false
80,38,Indira Kanda,33,F,false
81,38,Zashil Devan,15,T,false
82,38,Balveer More,9,M,false
83,39,Aarini Subramaniam,35,T,false
84,40,Lakshmi Prabhu,53,T,false
85,41,Logan Bath,53,M,false
86,41,Daksha Tailor,22,F,false
87,41,Gunbir Keer,43,F,false
88,42,Vrishti Reddy,53,F,false
89,42,Bachittar Prabhakar,55,F,false
90,43,Darsh Rao,66,T,false
91,43,Ranveer Das,56,T,false
92,43,Gavin Kala,69,T,false
93,44,Zashil Ghosh,8,F,false
94,44,Atharv Deep,18,F,false
95,45,Alka Ben,40,T,false
96,46,Yochana Chopra,52,T,false
97,47,Pooja Chokshi,42,M,false
98,48,Sudiksha Tiwari,22,M,false
99,48,Hardik Contractor,31,M,false
100,48,Qushi Seth,49,T,false
101,49,Ekalinga Chand,16,T,false
102,49,Girik Sankaran,63,T,false
103,49,Kashish De,50,M,false
104,50,Jhalak Contractor,17,M,false
105,50,Upkaar Sanghvi,32,F,false
106,50,Amara Balakrishnan,14,M,false
107,51,Azaan Chand,61,M,false
108,51,Krisha Saini,16,M,false
109,51,Harita Dugar,22,M,false
110,52,Yauvani Comar,58,F,false
111,52,Qushi Choudhry,74,T,false
112,52,Vidhi Vyas,27,F,false
113,53,Abhimanyu Jayaraman,13,F,false
114,53,Siddharth Devan,60,T,false
115,53,Bimala Narang,35,M,false
116,54,Lajita Walia,26,F,false
117,54,Xiti Pandya,25,F,false
118,55,Nidhi Sahni,52,M,false
119,55,Ishwar Ravel,69,T,false
120,55,Ekta Garg,11,M,false
121,56,Harinakshi Kant,6,F,false
122,56,Om Bose,5,T,false
123,56,Yashvi Hari,53,T,false
124,57,Harshil Dhingra,18,M,false
125,58,Wakeeta Shetty,75,M,false
126,58,Ekantika Mutti,17,F,false
127,58,Ria Bir,18,M,false
128,59,Yashica Borah,55,F,false
129,59,Triya Seth,8,F,false
130,59,Dakshesh Pillay,59,M,false
131,60,Hemal Chad,33,M,false
132,60,Balveer Kota,40,M,false
133,60,Reva Viswanathan,65,T,false
134,61,Mason Nath,72,F,false
135,62,Krisha Narasimhan,67,T,false
136,62,Girik Sampath,45,M,false
137,62,Andrew Patil,50,M,false
138,63,Harrison Tripathi,36,T,false
139,64,Raksha Bassi,48,M,false
140,65,Vivaan Walla,65,M,false
141,66,Zashil Ben,62,M,false
142,67,Rajeshri Chand,17,F,false
143,68,Eiravati Chaudhary,58,T,false
144,68,Madhav Devan,16,M,false
145,68,Bhavini Sodhi,61,M,false
146,69,Tanvi Bhatnagar,25,T,false
147,70,Wridesh Saha,18,F,false
148,70,Frederick Viswanathan,13,F,false
149,71,Wridesh Chawla,43,M,false
150,71,Kiaan Basu,28,F,false
151,71,Hamsini Gill,17,F,false
152,72,Diya Mukherjee,63,M,false
153,72,Urvashi Kulkarni,45,T,false
154,72,Rayaan Mangal,28,M,false
155,73,Fitan Samra,42,F,false
156,73,Qushi Gole,71,T,false
157,74,Ira Saran,61,F,false
158,74,Dakshesh Borde,20,T,false
159,75,Mitesh Sengupta,5,M,false
160,76,Arya Krish,50,F,false
161,76,Atharv Grewal,39,T,false
162,77,Tanish Mangal,67,M,false
163,77,Ryan Das,57,F,false
164,78,Gagan Nagarajan,26,M,false
165,78,Dhruv Mannan,67,F,false
166,79,Atharv Patel,63,F,false
167,80,Zansi Padmanabhan,5,T,false
168,80,Qabil Dayal,11,T,false
169,81,Anvi Dass,21,T,false
170,81,Girik Thakkar,27,T,false
171,81,Mitesh Garg,74,T,false
172,82,Nidra Mishra,54,M,false
173,82,Elijah Bhasin,70,T,false
174,82,Ria Sagar,41,T,false
175,83,Mohini De,25,T,false
176,84,Jason Loke,32,T,false
177,84,Yug Dhaliwal,72,F,false
